plant_name,sunlight,watering,difficulty,light_hours,indoor_outdoor,humidity,temperature_min_c,temperature_max_c,description
Acacia,high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: fast. Soil: sandy. Watering: Let soil dry between watering. Fertilizer: Organic.
Acalypha,high,Weekly,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: sandy. Watering: Regular Watering. Fertilizer: Organic.
Acanthus,medium,Weekly,Easy,4,Both,High,10,32,"Growth rate: moderate. Soil: loamy. Watering: Regular, moist soil. Fertilizer: Organic."
Achillea (yarrow),high,Every 2 weeks,Easy,6,Outdoor,Low,5,35,Growth rate: moderate. Soil: well-drained. Watering: Let soil dry between watering. Fertilizer: Balanced.
Acorn Squash,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: moderate. Soil: loamy. Watering: Regular watering. Fertilizer: Balanced.
Adonidia,high,2x/week,Medium,6,Indoor,High,15,30,"(Veitchia merrillii) Family: Arecaceae. Origin: Philippines. Climate: Tropical. Watering: Keep moist between watering. Must not be dry between watering. Watch for: Spider mite, Mealy bug."
African Evergreen,low,2x/week,Medium,3,Indoor,High,12,28,"(Syngonium podophyllum) Family: Araceae. Origin: Cultivar. Climate: Tropical humid. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Spider mite, Mealy bug."
African Fern Pine,low,2x/week,Medium,3,Indoor,High,10,30,"(Podocarpus gracilior) Family: Podocarpaceae. Origin: Central Africa. Climate: Subtropical. Watering: Keep moist between watering. Must not be dry between watering. Watch for: Mealy bug, Scale."
African Violet,high,Weekly,Easy,6,Indoor,High,15,28,Growth rate: moderate. Soil: well-drained. Watering: Keep soil moist. Fertilizer: Organic.
Ageratum,high,Weekly,Easy,6,Outdoor,Medium,5,35,Growth rate: fast. Soil: well-drained. Watering: Regular Watering. Fertilizer: Organic.
Algerian Ivy,medium,2x/week,Medium,4,Both,High,5,30,"(Hedera canariensis) Family: Araliaceae. Origin: Canaries. Climate: Subtropical. Watering: Keep moist between watering. Water when soil is half dry.. Watch for: Spider mite, Mealy bug, Scale."
Aloe,medium,Every 2 weeks,Easy,4,Both,Medium,10,32,"Aloe harlana, also known as the yellow-flowering barbed aloe, is a plant species that is simply remarkable. It has a remarkable longevity and ability to thrive in arid regions, making it a great choice for those looking for a minimal maintenance h..."
Aloe Vera,high,Weekly,Medium,6,Indoor,Low,15,28,Growth rate: slow. Soil: sandy. Watering: Water weekly. Fertilizer: Balanced.
